json_path,img_path,label_c,label_u,label_w,label_p,label_a,bbox_coord
../skintelligent-1-sep-2019/crows feet/anti-wrinkle-gummy-smile-treatment-before-and-after.json,Google_Clean images_cropped/crows feet/anti-wrinkle-gummy-smile-treatment-before-and-after.jpg,2,1,2,1,1,[0.0000000e+00 0.0000000e+00 8.2700000e+02 1.0520000e+03 9.9990046e-01]
../skintelligent-1-sep-2019/RS_Clean images/25-3055566-64070ca87c92af8b769c6289098f369f.json,RS_Clean images_cropped/25-3055566-64070ca87c92af8b769c6289098f369f.jpg,1,2,1,2,1,[ 21.86860193   0.         314.78699498 340.           0.9980095 ]
../skintelligent-1-sep-2019/sagging skin/86_right.json,Google_Clean images_cropped/sagging skin/86_right.png,2,2,1,1,1,[  4.4763719    0.         549.09721767 799.           0.99999619]
../skintelligent-1-sep-2019/RS_Clean images/25-8895492-481e469790192c64e346dc137f7c07ac.json,RS_Clean images_cropped/25-8895492-481e469790192c64e346dc137f7c07ac.jpg,1,3,1,1,1,[ 11.36637036   0.         209.76474981 257.           0.99972564]
../skintelligent-1-sep-2019/acne/267_right.json,Google_Clean images_cropped/acne/267_right.png,1,1,1,2,1,"[0.00000000e+00 0.00000000e+00 9.57275012e+02 1.08000000e+03
 9.99991417e-01]"
../skintelligent-1-sep-2019/RS_Clean images/25-114165-03d367eb906a6dfc2d103e796202c11e.json,RS_Clean images_cropped/25-114165-03d367eb906a6dfc2d103e796202c11e.jpg,3,3,3,3,1,[ 13.02312296   0.         333.         500.           0.99973923]
../skintelligent-1-sep-2019/RS_Clean images/106611-8559831-59941c8bf9c2e3420569dcb3de6ba315.json,RS_Clean images_cropped/106611-8559831-59941c8bf9c2e3420569dcb3de6ba315.jpg,2,2,2,1,1,[ 38.44684543   0.         280.70010382 340.           0.99549603]
../skintelligent-1-sep-2019/RS_Clean images/106611-3997122-fc6d3dcc1ab3bee8d503558dd58ab64e.json,RS_Clean images_cropped/106611-3997122-fc6d3dcc1ab3bee8d503558dd58ab64e.jpg,1,1,1,1,1,[  8.30109353   0.         340.         340.           0.99997747]
../skintelligent-1-sep-2019/brightness/Blue-Peel-after-941264-1331115.json,Google_Clean images_cropped/brightness/Blue-Peel-after-941264-1331115.jpg,3,1,3,1,1,[ 33.46542575   7.66496637 340.         490.57306069   0.9991824 ]
../skintelligent-1-sep-2019/RS_Clean images/215-4221486-867386ddb444fb118a62d565ff82e70d.json,RS_Clean images_cropped/215-4221486-867386ddb444fb118a62d565ff82e70d.jpg,3,1,3,1,1,[ 45.55819643   0.         248.13467065 282.05156538   0.99661285]
../skintelligent-1-sep-2019/RS_Clean images/25-3541449-5b0d998d4a612ff17be4b95f04649a5a.json,RS_Clean images_cropped/25-3541449-5b0d998d4a612ff17be4b95f04649a5a.jpg,1,2,1,2,1,
../skintelligent-1-sep-2019/RS_Clean images/25-2009325-f091b824552d7bfe996c645707107e00.json,RS_Clean images_cropped/25-2009325-f091b824552d7bfe996c645707107e00.jpg,2,1,1,1,1,[  0.           0.         318.80459091 340.           0.99963677]
../skintelligent-1-sep-2019/RS_Clean images/106611-8506054-2148135bd690886720553ff585185377.json,RS_Clean images_cropped/106611-8506054-2148135bd690886720553ff585185377.jpg,2,3,3,1,1,[  0.           0.         276.         410.           0.99999893]
../skintelligent-1-sep-2019/pigmentation/Melasma-Treatment-after-2078637-2390809.json,Google_Clean images_cropped/pigmentation/Melasma-Treatment-after-2078637-2390809.jpg,1,2,1,2,1,[ 35.54757694   0.         307.52919202 340.           0.99999857]
../skintelligent-1-sep-2019/crows feet/men-eye-lines-dermal-filler-l.json,Google_Clean images_cropped/crows feet/men-eye-lines-dermal-filler-l.jpg,3,1,2,1,1,[  0.           0.         268.         307.           0.99999416]
../skintelligent-1-sep-2019/crows feet/Loreal-Paris-BMAG-Article-Can-You-Get-Rid-of-Crows-Feet-T.json,Google_Clean images_cropped/crows feet/Loreal-Paris-BMAG-Article-Can-You-Get-Rid-of-Crows-Feet-T.jpg,3,2,1,1,1,"[5.33954540e+02 0.00000000e+00 1.01328926e+03 5.23510601e+02
 9.99767840e-01]"
../skintelligent-1-sep-2019/wrinkles/Wrinkle-Treatment-after-6357683-3390514.json,Google_Clean images_cropped/wrinkles/Wrinkle-Treatment-after-6357683-3390514.png,1,1,3,1,1,[ 21.69112415   0.         316.47166764 340.           0.99995673]
../skintelligent-1-sep-2019/RS_Clean images/106611-6468741-5eec8bcf4b1751526b83341c74b6bf06.json,RS_Clean images_cropped/106611-6468741-5eec8bcf4b1751526b83341c74b6bf06.jpg,2,2,3,2,1,[ 27.97658247   0.         308.96299024 334.14767368   0.99998534]
../skintelligent-1-sep-2019/RS_Clean images/25-2236218-9e3a9af4d5e5c7bc6b01de47cb6cb260.json,RS_Clean images_cropped/25-2236218-9e3a9af4d5e5c7bc6b01de47cb6cb260.jpg,2,1,3,1,1,[  0.           0.         337.95924883 340.           0.99966407]
../skintelligent-1-sep-2019/fine lines/Dysport-before-5923834-3284764.json,Google_Clean images_cropped/fine lines/Dysport-before-5923834-3284764.png,1,1,2,1,1,[ 36.04776299   0.         298.47702122 340.           0.99962187]
../skintelligent-1-sep-2019/sagging skin/Brow-Lift-after-149258.json,Google_Clean images_cropped/sagging skin/Brow-Lift-after-149258.gif,1,1,1,1,1,[ 22.67267947   2.46160213 186.31589294 246.36503383   0.99988985]
../skintelligent-1-sep-2019/fine lines/Dysport-before-6392837-3398491.json,Google_Clean images_cropped/fine lines/Dysport-before-6392837-3398491.png,1,1,1,1,1,[ 25.07215702   0.         233.42201646 290.           0.99786913]
